cacophonous||[kæ`kɑfənəs, kə-; kæˋkɒfənəs]|||ca.coph.o.nous<br>[kæ`kɑfənəs, kə-; kæˋkɒfənəs]<br>形容词<br>声音不和谐的; 刺耳的 <br> 想 卡壳的声音 不和谐的 <br> n. cacophony
cosmic|[sound:484aa996baf400050872a3cfe9f8f56d.mp3]|/ˈkɑːzmɪk/|<img src="7fbc1bb6f3193f7c57592f17993ab26e.jpg"></img>|Stars and planets form part of the <b>cosmic</b> system.|adj. 宇宙的；广大无边的<br>cosm = universe
cosmos|[sound:3b4b7eea3a33d31d73ac2a6eeb7e25ce.mp3]|/'kɑːzmoʊs/|<img src="de598b44131fc6bd86f2786af3c853ea.jpg"></img>|I would explore the <b>cosmos</b> in a spaceship if I could.|n. 宇宙，秩序；大波斯菊<br>cosm = universe
cosmopolitan|[sound:5d9fc2e0f12e88fc20da510aeed01fe2.mp3]|/ˌkɑzməˈpɑlɪt(ə)n/|<img src="06ba274d3eb9d7202cba7e991040db72.jpg"></img>|New York is a very <b>cosmopolitan</b> city.|n. 世界主义者;  adj. 世界性的；广泛分布的；多元的<br>cosm = universe <br>politan = city
insular|[sound:39d67e35844a3511307cefd190c99f0f.mp3]|/ˈɪnsələr/|<img src="581fc908d26f856dd266a849ed61e9fb.jpg"></img>|Perhaps the English have an <b>insular</b> outlook because they live on an island.|adj. 岛屿的，与世隔绝的
timid|[sound:318304ca3cb798e503485582155f321c.mp3]|/ˈtɪmɪd/|<img src="9124ea2145b73076d2f94070f0ff37a7.jpg"></img>|She becomes very shy and <b>timid</b> in front of the boy that she likes.|adj. 胆怯的；腼腆的
cowardly||[ˈkaʊədli]|||cow.ard.ly<br>形容词<br>怯懦的; 胆怯的,卑劣的<br>(←→ brave)<br>a ~ man<br>懦夫<br>a ~ lie<br>卑劣的谎言<br>副词<br>怯懦地,胆怯地
craven|[sound:8ed7053731e69719d1f155469a2cb8a8.mp3]|/ˈkreɪvn/|<img src="fe1be1cababdfbfafb13c58ef1909e67.jpg"></img>|He's so <b>craven</b>, even a small insect can cause him to start screaming.|adj. 懦弱的，畏缩的<br>cry
cavern|[sound:46abd1d30df4e86eb437e0bfcc0fed2d.mp3]|/ˈkævərn/|<img src="3148f0d3469626f749c0ca071dda89dd.jpg"></img>|I could see him near the entrance of the <b>cavern</b>.|n. 洞穴；凹处；  v. 挖空；置…于洞穴中<br>cave 山洞
cringe|[sound:69065cad9f1564de90537cfd960ed4b1.mp3]|/krɪndʒ/|<img src="f98f3264b45dc6a16a5f144cc6b6b561.jpg"></img>|Any time he called her 'snookums', she would <b>cringe</b>.|v. 畏缩；奉承；阿谀；  n. 畏缩；奉承<br>cry
crusade|[sound:4884e91e1d6984a9074d3595089f7fef.mp3]|/kruːˈseɪd/|<img src="9a3581df0ec82f1d66464399f9674f16.jpg"></img>|In the Middle Ages, European Christians went on <b>crusade</b>s against the Muslims in Palestine.|n. 改革运动，十字军东侵；  v. 加入十字军，从事改革运动<br>Crusade十字军东征<br>cruc/crus <- cross
crucial|[sound:7ccaafc833d5c447fc2d5307f758a5f2.mp3]|/ˈkruːʃl/|<img src="8e92d4e69c07dcd13d8c2a6295761baf.jpg"></img>|It is <b>crucial</b> to get his approval.|gra. adj. 至关重要的<br>cruc/crus <- cross<br>十字路口的
crux|[sound:61dbcfdecea2241d0fa355c9c60c5354.mp3]|/krʌks/|<img src="7335741b39a1be7337cabb6c2edbf374.jpg"></img>|The overhang was the <b>crux</b> of the climb - once she was over it, the rest was easy.|n. 关键，难题，十字架形，坩埚<br>cruc/crus <- cross
crucify|[sound:288a366c0d25158fe25a689eb3370694.mp3]|/ˈkruːsɪfaɪ/|<img src="d11f00e8d169b8b468775e2b464eb8c8.jpg"></img>|She was crucified onto a gigantic cross.|v. 折磨；十字架上钉死；克制<br>cruc/crus <- cross<br>-ify 使...怎么样
curt|[sound:b01367e67418bd0b4486e392617f3ca2.mp3]|/kɜːrt/|<img src="fd6cf748a03337563434080e680a5bea.jpg"></img>|She was often rude and <b>curt</b> to her parents.|adj. 简略的，简短的，生硬的<br>想 cut
curb|[sound:204583276915bb2c3c6d0573c1433def.mp3]|/kɝb/|<img src="04406f1fab3f71a05048b17ab57e360d.jpg"></img>|Excuse me Sir, no photographing in the zoo, please <b>curb</b> your enthusiasm, just a little bit.|vt. 控制,约束;n. 控制,约束;(街道或人行道的)路缘<br>想 cut<br>反 goad 激励
goad|[sound:64c3d19e2bc9c411d8e70b4ae8c6fea6.mp3]|/ɡoʊd/|<img src="13f7698e73c8d234d136061f5b9e173c.jpg"></img>|It is stupid to <b>goad</b> the crocodile like that--it could attack!|n. （赶牛用的）刺棒；  vt. 驱赶；刺激；鼓励
cynic|[sound:f845e541c41b2762112ca51f209e1a79.mp3]|/ˈsɪnɪk/|<img src="a13a6ce219037a2bfb415cfe8596fee1.jpg"></img>|My mother is a bit of a <b>cynic</b>--she never thinks any good will come from anything.|n. 愤世嫉俗者；犬儒学派的人；  adj. 犬儒学派的<br>cyn = dog
cynical|[sound:e68c19e4c82cd796edcf8b2e3768092c.mp3]| [ˈsɪnɪk(ə)l]|<img src="d763a413a8b1c4221453ffb953157885.jpg"></img>|He is so <b>cynical</b> that he hates the world.|adj. 愤世嫉俗的;  爱挖苦人的;unbelieving 怀疑人生的 sarcastic讽剌的<br>cyn = dog
sarcastic|[sound:a1fb77200f644afd263d8fe9fe0a69e7.mp3]|/sɑːrˈkæstɪk/|<img src="cb66b59df0cb12b49ba08282868a2337.jpg"></img>|Couldn't you tell I was just being <b>sarcastic</b> when I said I'd date you?|adj. 讽剌的，挖苦的，冷嘲热讽的
cynicism||[-ˌsIzəm; -sizəm]|||cyn.i.cism<br>[-ˌsIzəm; -sizəm]<br>名词<br>1 a. (U)愤世嫉俗,讥嘲的习癖<br>b. (C)讥嘲的言词[行为]<br>2 [C~](U)大儒哲学,大儒主义<br>(→ cynic n. 2)<br>cyn = dog
dearth|[sound:144a9df5555b4a70127a50335926d06b.mp3]|/dɜːrθ/|<img src="bce294037fcb60bdc7941e9e67f265e8.jpg"></img>|The poor face a <b>dearth</b> of food every day.|n. 缺乏，供应不足<br>想 death 死光了
poverty|[sound:9830e1cf94f3590af6332cde2c613907.mp3]|/ˈpɑːvərti/|<img src="f0014d627d33592ef2b8b8aec3877f54.jpg"></img>|He has lived in <b>poverty</b> since he joined the beggar gang.|n. 贫困，贫穷
pauper|[sound:840dc40e1e6c82dd7779a54d797fabd9.mp3]|/ˈpɔːpər/|<img src="f9c8eef889de6af87b9ca6d02a8bd523.jpg"></img>|Since I lost my job and my savings, I've become a <b>pauper</b>.|n. 贫民，乞丐
paucity|[sound:20fb346e6e9e6e648ba395c9057a0bd1.mp3]|/ˈpɔːsəti/|<img src="91059adcd9ba49dd7b5e391b533d4fe6.jpg"></img>|There's a <b>paucity</b> of eggs here - I want at least three!|n. 小量，缺乏<br> poverty->pauper->paucity
deficiency|[sound:19f94a505891e3f146dcdf03fa27089a.mp3]|/dɪˈfɪʃnsi/|<img src="819bd446c598f26769d212da0292cae7.jpg"></img>|He has a <b>deficiency</b> of currency.|var. n. 不足<br>sufficient充足 <br>de- 负向向下
sufficient|[sound:7a56892361dbec3a84738eadd1e21c10.mp3]|/səˈfɪʃnt/|<img src="f3ae7a447b673d47f426b439bfc85123.jpg"></img>|I have prepared <b>sufficient</b> pancakes for my daughter. |n. 充足, 足量;  adj. 充分的, 足够的<br> sub->suf
scarcity|[sound:b1bc0df80086fa853186794ee1d83101.mp3]|/ˈskersəti/|<img src="a86bad666df06e7e2a879a62b698e0ed.jpg"></img>|After a few years there will be a <b>scarcity</b> of water on earth.|n. 缺乏，不足<br>scarce缺乏的<br>scar 刀疤 <br>少块肉
scant|[sound:110695cd32bbe3f58d8be5c748c27913.mp3]|/skænt/|<img src="4f7f159d525d84acaf8e7e1b3290247a.jpg"></img>|There is <b>scant</b> fresh water on Earth; we should try to conserve it.|adj. 不足的，缺乏的；勉强够的；  v. 减少；节省；限制<br>scarce缺乏的<br>scar 刀疤 <br>少块肉
glut|[sound:14ced1d7343fca4060387aa094219c83.mp3]|/ɡlʌt/|<img src="051f6b1933b0406e9cbce2fbd2ad8559.jpg"></img>|The company now has a huge <b>glut</b> of money. We're rich!|n. 供过于求，过多 <br>gluttonous 贪吃的glutinous胶状的
plethora|[sound:beb13fd4f3ad9caed090562890bacd04.mp3]|/ˈpleθərə/|<img src="947465ba8156e026e4addb749839f175.jpg"></img>|There's such a <b>plethora</b> of information on this topic, my thesis can't include it all.|n. 过多，过剩，多血症<br>plenty 大量->plet
scad||[skæd; skæd]|||scad<br>[skæd; skæd]<br>许多
debris|[sound:d4c8dcdb7e5019f3051a505279464406.mp3]|/də'briː/|<img src="e3b7d13b209ade4aa9546fdb48ac5bb7.jpg"></img>|The <b>debris</b> from buildings can be seen everywhere after the earthquake.|n. 残骸，碎片<br>de- away <br> bris = break <br>space debris 太空垃圾
